OntologyAnnotation.subject.symbol,OntologyAnnotation.subject.background.name,Zygosity,ContainsHoloprosencephaly,CombinedPhenotypes,CombinedPubmed,HPE_strains
Hic1<tm1Sbb>/Hic1<+>,involves: 129S4/SvJae * C57BL/6,ht,FALSE,"dermatitis, increased carcinoma incidence, increased carcinoma incidence, increased hepatocellular carcinoma incidence, increased lung adenocarcinoma incidence, increased lymphoma incidence, increased lymphoma incidence, increased malignant tumor incidence, increased malignant tumor incidence, increased malignant tumor incidence, increased metastatic potential, increased pancreatic islet cell carcinoma incidence, increased sarcoma incidence, increased sarcoma incidence, increased squamous cell carcinoma incidence",12539045,129S4/SvJae|C57BL/6
Hic1<tm1Sbb>/Hic1<tm1Sbb>,involves: 129S4/SvJae * C57BL/6,hm,TRUE,"abnormal brain development, abnormal brain dura mater morphology, abnormal craniofacial development, abnormal forelimb morphology, abnormal hindlimb morphology, abnormal palate morphology, abnormal ventral body wall morphology, acrania, decreased embryo size, decreased fetal size, exencephaly, exencephaly, holoprosencephaly, lowered ear position, perinatal lethality, complete penetrance, short snout, small ears",10655551,129S4/SvJae|C57BL/6
Ift172<tm1Lmgd>/Ift172<tm1Lmgd>,involves: 129S1/Sv * 129X1/SvJ * C57BL/6,hm,TRUE,"abnormal brain development, abnormal cardiac outflow tract development, abnormal diencephalon morphology, abnormal direction of heart looping, abnormal embryonic neuroepithelium morphology, abnormal left-right axis patterning, abnormal mesendoderm development, abnormal rhombomere morphology, abnormal telencephalon morphology, anophthalmia, anophthalmia, decreased heart right ventricle size, edema, embryonic lethality during organogenesis, complete penetrance, exencephaly, hemorrhage, holoprosencephaly, open neural tube, polydactyly",18930042,129S1/Sv|129X1/SvJ|C57BL/6
In(1)12Rk/+,involves: C57BL/6J,ht,FALSE,abnormal male meiosis,NA,C57BL/6J
In(1)1Rk/+,involves: C57BL/6J * DBA/2J,ht,FALSE,abnormal male meiosis,5289032,C57BL/6J|DBA/2J
In(1)24Rk/+,involves: C57BL/6J * DBA/2J,ht,FALSE,abnormal male meiosis,NA,C57BL/6J|DBA/2J
In(10)17Rk/+,involves: C57BL/6J * DBA/2J,ht,FALSE,abnormal male meiosis,NA,C57BL/6J|DBA/2J
In(10)6Rk/+,involves: C57BL/6J * DBA/2J,ht,FALSE,abnormal male meiosis,4361911,C57BL/6J|DBA/2J
In(11)20Rk/+,involves: C57BL/6J * DBA/2J,ht,FALSE,"decreased litter size, decreased litter size","385432, NA",C57BL/6J|DBA/2J
In(11)2Dn/+,involves: C57BL/6J * DBA/2J,ht,FALSE,reproductive system phenotype,NA,C57BL/6J|DBA/2J
In(11Rr325)1Smun/+,involves: C57BL/6J,ht,FALSE,"abnormal phalanx morphology, delayed bone ossification",31358994,C57BL/6J
In(12)25Rk/+,involves: C57BL/6J * DBA/2J,ht,FALSE,abnormal male meiosis,NA,C57BL/6J|DBA/2J
In(13)31Rk/+,Not Specified,ht,FALSE,abnormal male meiosis,NA,NotSpecified
In(14)22Rk/+,involves: C57BL/6J * DBA/2J,ht,FALSE,abnormal male meiosis,NA,C57BL/6J|DBA/2J
In(15)18Rk/+,involves: C57BL/6J * DBA/2J,ht,FALSE,abnormal male meiosis,NA,C57BL/6J|DBA/2J
In(15)21Rk/+,involves: C57BL/6J * DBA/2J,ht,FALSE,"abnormal male meiosis, decreased male germ cell number, reduced fertility","NA, 385432",C57BL/6J|DBA/2J
In(15)35Rk/+,involves: C57BL/6J * DBA/2J,ht,FALSE,abnormal male meiosis,NA,C57BL/6J|DBA/2J
In(15)4H/+,C3H/HeH-In(15)4H,ht,FALSE,"bushy muzzle, excessive hair, excessive hair, excessive hair, hairy ears",NA,C3H/HeH
In(15)4H/+,involves: C3H/HeH,ht,FALSE,"abnormal coat/ hair morphology, abnormal vibrissa follicle morphology, bushy muzzle, excessive hair, hairy ears, hairy ears","18713754, 12644183",C3H/HeH
In(19Fgf8-Pitx3)1Fsp/+,involves: 129P2/OlaHsd * 129S1/Sv,ht,FALSE,no phenotypic analysis,23453598,129P2/OlaHsd|129S1/Sv
In(2)19Rk/+,involves: C57BL/6J * DBA/2J,ht,FALSE,abnormal male meiosis,NA,C57BL/6J|DBA/2J
In(2)5Rk/+,involves: C57BL/6J * DBA/2J,ht,FALSE,"abnormal male meiosis, female infertility","4361911, NA",C57BL/6J|DBA/2J
In(2Cd44;Hoxd11)2Ddu/+,involves: 129S1/Sv * 129S2/SvPas * 129X1/SvJ,ht,FALSE,no phenotypic analysis,15995706,129S1/Sv|129S2/SvPas|129X1/SvJ
In(2Hoxd11;Itga6)1Ddu/+,involves: 129S1/Sv * 129X1/SvJ,ht,FALSE,abnormal cervical vertebrae morphology,19266017,129S1/Sv|129X1/SvJ
In(2Igs15-Cd44)68Ddu/+,involves: 129S1/Sv,ht,FALSE,no phenotypic analysis,23744951,129S1/Sv
In(3)11Rk/+,involves: C57BL/6J,ht,FALSE,abnormal male meiosis,NA,C57BL/6J
In(4)1Dn/+,involves: C57BL/6J * DBA/2J,ht,FALSE,reproductive system phenotype,NA,C57BL/6J|DBA/2J
In(4)28Rk/+,involves: M. m. domesticus poschiavinus,ht,FALSE,abnormal male meiosis,NA,M|m.domesticusposchiavinus
In(4)32Rk/+,Not Specified,ht,FALSE,abnormal male meiosis,NA,NotSpecified
In(4)56Rk/+,involves: C57BL/6J * DBA/2J,ht,FALSE,"abnormal eye electrophysiology, abnormal ocular fundus morphology, abnormal retina outer nuclear layer morphology, abnormal retina outer plexiform layer morphology, abnormal retina photoreceptor layer morphology, abnormal retina pigmentation, abnormal retina vasculature morphology, retina photoreceptor degeneration",9205110,C57BL/6J|DBA/2J
In(5)2Rk/+,involves: C57BL/6J * DBA/2J,ht,FALSE,"abnormal male meiosis, abnormal male meiosis","5289032, NA",C57BL/6J|DBA/2J
In(5)30Rk/+,involves: M. m. domesticus poschiavinus,ht,FALSE,abnormal male meiosis,NA,M|m.domesticusposchiavinus
In(5)33Rk/+,involves: M. m. domesticus poschiavinus,ht,FALSE,abnormal male meiosis,NA,M|m.domesticusposchiavinus
In(5)9Rk/+,involves: C3H * DBA/2J,ht,FALSE,"abnormal male meiosis, reduced female fertility, reduced fertility, reduced male fertility","4361911, NA",C3H|DBA/2J
In(7)13Rk/+,involves: C3H * DBA/2J,ht,FALSE,abnormal male meiosis,NA,C3H|DBA/2J
In(8)14Rk/+,involves: C57BL/6J * DBA/2J,ht,FALSE,abnormal male meiosis,NA,C57BL/6J|DBA/2J
In(9)26Rk/+,involves: C57BL/6J * DBA/2J,ht,FALSE,abnormal male meiosis,NA,C57BL/6J|DBA/2J
Katnb1<tm1a(EUCOMM)Hmgu>/Katnb1<tm1a(EUCOMM)Hmgu>,C57BL/6-Katnb1<tm1a(EUCOMM)Hmgu>,hm,TRUE,"abnormal cell cytoskeleton morphology, abnormal cell cytoskeleton morphology, abnormal cell morphology, abnormal cell morphology, abnormal cell morphology, abnormal cortical ventricular zone morphology, abnormal embryo morphology, abnormal erythropoiesis, abnormal forebrain morphology, abnormal mitosis, abnormal mitotic spindle morphology, abnormal neuronal precursor proliferation, abnormal neuronal precursor proliferation, abnormal primary cilium morphology, abnormal primary cilium morphology, abnormal primary cilium morphology, aneuploidy, anophthalmia, binucleate, decreased brain size, decreased embryo size, decreased fibroblast proliferation, decreased neuronal precursor cell number, holoprosencephaly, increased brain apoptosis, lethality throughout fetal growth and development, complete penetrance, lethality throughout fetal growth and development, complete penetrance, loss of cortex neurons, microphthalmia, pale liver, small limb buds, thin cerebral cortex, thin cerebral cortex",25521379,C57BL/6
Lrp2<27SH>/Lrp2<27SH>,involves: A/J * C57BL/6N,hm,TRUE,"abnormal brain morphology, abnormal cerebellum fissure morphology, abnormal eye morphology, abnormal forebrain morphology, abnormal lateral ventricle morphology, abnormal olfactory bulb morphology, absent nasal septum, anophthalmia, cleft palate, holoprosencephaly, round forehead, small olfactory bulb",22555591,A/J|C57BL/6N
Lrp2<tm1Her>/Lrp2<+>,involves: 129S7/SvEvBrd * C57BL/6,ht,FALSE,"abnormal ear physiology, impaired hearing, increased or absent threshold for auditory brainstem response",17846082,129S7/SvEvBrd|C57BL/6
Lrp2<tm1Her>/Lrp2<tm1Her>,either: (involves: 129S7/SvEvBrd * CD-1) or (involves: 129/SvEmcTer * 129S7/SvEvBrd * C57BL/6N),hm,FALSE,"abnormal response/metabolism to endogenous compounds, abnormal testis development, abnormal testis morphology, dilated uterus, increased circulating dihydrotestosterone level, increased circulating testosterone level, unilateral cryptorchism, vaginal septum",16143106,129S7/SvEvBrd|CD
Lrp2<tm1Her>/Lrp2<tm1Her>,involves: 129S7/SvEvBrd,hm,TRUE,"abnormal choroid plexus morphology, abnormal embryonic neuroepithelium morphology, abnormal forebrain development, abnormal proximal convoluted tubule morphology, abnormal proximal convoluted tubule morphology, abnormal respiratory system physiology, abnormal telencephalon morphology, abnormal urine homeostasis, abnormal viscerocranium morphology, absent corpus callosum, absent olfactory bulb, anophthalmia, atelectasis, cyanosis, decreased embryo size, delayed neural tube closure, emphysema, exencephaly, flat forehead, holoprosencephaly, holoprosencephaly, increased apoptosis, increased urine microglobulin level, increased urine protein level, increased urine protein level, increased urine protein level, microphthalmia, overexpanded pulmonary alveolus, perinatal lethality, complete penetrance, respiratory failure, short snout, small embryonic telencephalon","8710893, 10514418, 20531455",129S7/SvEvBrd
Lrp2<tm1Her>/Lrp2<tm1Her>,involves: 129S7/SvEvBrd * C57BL/6,hm,FALSE,"abnormal hearing physiology, abnormal strial marginal cell morphology, abnormal strial marginal cell morphology, abnormal strial marginal cell morphology, impaired hearing, increased or absent threshold for auditory brainstem response, increased susceptibility to age-related hearing loss, perinatal lethality, incomplete penetrance",17846082,129S7/SvEvBrd|C57BL/6
Lrp2<tm1Her>/Lrp2<tm1Her>,involves: 129S7/SvEvBrd * C57BL/6 * FVB/NJ,hm,FALSE,"abnormal selenium level, abnormal selenium level, behavior/neurological phenotype, decreased glutathione peroxidase activity, growth/size/body region phenotype, increased urine selenium level, increased urine selenium level",24434121,129S7/SvEvBrd|C57BL/6|FVB/NJ
Lrp2<tm3Tew>/Lrp2<+>,Not Specified,ht,FALSE,"renal/urinary system phenotype, renal/urinary system phenotype, renal/urinary system phenotype",20531455,NotSpecified
Lrp2<tm3Tew>/Lrp2<tm3Tew>,Not Specified,hm,TRUE,"holoprosencephaly, perinatal lethality, incomplete penetrance",20531455,NotSpecified
Mks1<tm1a(EUCOMM)Wtsi>/Mks1<+>,B6JTyr;B6N-Mks1<tm1a(EUCOMM)Wtsi>/Wtsi,ht,FALSE,abnormal nail morphology,NA,B6JTyr;B6N
Mks1<tm1a(EUCOMM)Wtsi>/Mks1<tm1a(EUCOMM)Wtsi>,involves: C57BL/6 * C57BL/6N,hm,TRUE,"abnormal brain morphology, abnormal cell morphology, abnormal cerebral aqueduct morphology, abnormal cerebral cortex morphology, abnormal cerebral hemisphere morphology, abnormal ear morphology, abnormal embryo turning, abnormal ependyma motile cilium morphology, abnormal fontanelle morphology, abnormal forebrain development, abnormal long bone morphology, abnormal neocortex morphology, abnormal occipital bone morphology, abnormal posterior cranial fossa morphology, abnormal renal tubule epithelial cell primary cilium morphology, anophthalmia, cerebellum vermis hypoplasia, cleft upper lip, cyanosis, decreased length of long bones, decreased respiration, dextrocardia, enlarged fourth ventricle, enlarged heart, enlarged kidney, hydrocephaly, incomplete rostral neuropore closure, increased cell proliferation, increased kidney cell proliferation, increased neuron apoptosis, kidney cyst, left pulmonary isomerism, lethality throughout fetal growth and development, incomplete penetrance, liver fibrosis, micrognathia, microphthalmia, neonatal lethality, complete penetrance, ocular hypertelorism, omphalocele, polyphalangy, preaxial polydactyly, pulmonary hypoplasia, semilobar holoprosencephaly, situs inversus",23454480,C57BL/6|C57BL/6N
Mks1<tm1a(EUCOMM)Wtsi>/Mks1<tm1a(EUCOMM)Wtsi>,involves: C57BL/6N,hm,FALSE,"abnormal eye morphology, edema, polydactyly",23870131,C57BL/6N
Morc2a<em1(IMPC)Wtsi>/Morc2a<+>,C57BL/6N-Morc2a<em1(IMPC)Wtsi>/WtsiOulu,ht,FALSE,decreased circulating HDL cholesterol level,NA,C57BL/6N
Morc2a<em1(IMPC)Wtsi>/Morc2a<em1(IMPC)Wtsi>,C57BL/6N-Morc2a<em1(IMPC)Wtsi>/WtsiOulu,hm,TRUE,"aberrant origin of the right subclavian artery, abnormal Meckel's cartilage morphology, abnormal Mullerian duct morphology, abnormal Wolffian duct morphology, abnormal Wolffian duct topology, abnormal adrenal gland morphology, abnormal anterior cerebral artery morphology, abnormal atrioventricular cushion morphology, abnormal brain internal capsule morphology, abnormal brain morphology, abnormal carpal bone morphology, abnormal celiac artery morphology, abnormal choroid plexus morphology, abnormal clavicle morphology, abnormal common bile duct morphology, abnormal diaphragm morphology, abnormal dorsal pancreas topology, abnormal ductus venosus topology, abnormal external auditory canal morphology, abnormal eye muscle morphology, abnormal facial nerve topology, abnormal forebrain morphology, abnormal forelimb morphology, abnormal head morphology, abnormal hindbrain morphology, abnormal humerus morphology, abnormal hyoid bone body morphology, abnormal hypoglossal nerve topology, abnormal incisor morphology, abnormal inferior vena cava morphology, abnormal infrahyoid muscle connection, abnormal inner ear morphology, abnormal interatrial septum morphology, abnormal internal carotid artery topology, abnormal intestine placement, abnormal intrathoracic topology of vagus nerve, abnormal jaw morphology, abnormal left lung morphology, abnormal lens morphology, abnormal liver morphology, abnormal liver vasculature morphology, abnormal masticatory muscle morphology, abnormal middle ear morphology, abnormal middle ear ossicle morphology, abnormal nasal cavity morphology, abnormal nasal septum morphology, abnormal occipital bone morphology, abnormal olfactory bulb morphology, abnormal olfactory bulb position, abnormal olfactory nerve morphology, abnormal optic cup morphology, abnormal optic stalk morphology, abnormal pectinate muscle morphology, abnormal pineal gland morphology, abnormal pituitary gland morphology, abnormal radius morphology, abnormal rib morphology, abnormal right lung morphology, abnormal salivary gland morphology, abnormal scapula morphology, abnormal sphenoid bone morphology, abnormal stapes morphology, abnormal subclavian artery origin, abnormal testis morphology, abnormal thymus topology, abnormal thyroid gland morphology, abnormal ulna morphology, abnormal ureter topology, abnormal vertebral arch morphology, abnormal vertebral artery origin, abnormal vertebral body morphology, abnormal vitelline vein connection, abnormal vomeronasal organ morphology, absent Mullerian ducts, absent Wolffian ducts, absent connection between subcutaneous lymph vessels and lymph sac, absent digastric muscle, absent ductus venosus valve, absent external auditory canal, absent eye muscles, absent humerus, absent intracranial segment of vertebral artery, absent intrahepatic inferior vena cava segment, absent mandibular nerve, absent neurocranium, absent occipital bone, absent optic chiasm, absent pituitary gland, absent posterior communicating artery, absent radius, absent salivary gland, absent segment of anterior cerebral artery, absent stapedial artery, absent superior cervical ganglion, absent upper incisors, absent ventral pancreas, absent vertebral body, aphakia, athymia, basisphenoid bone foramen, blood in lymph vessels, diaphragmatic hernia, double inlet heart right ventricle, double outlet right ventricle, embryonic growth retardation, enlarged brain ventricles, facial cleft, fragmented Meckel's cartilage, heterochrony, holoprosencephaly, increased trigeminal neuroma incidence, intracerebral hemorrhage, left sided brachiocephalic trunk, liver cyst, muscular ventricular septal defect, oligodactyly, perimembraneous ventricular septal defect, persistent dorsal ophthalmic artery, persistent truncus arteriosis, preweaning lethality, complete penetrance, reduced sympathetic cervical ganglion size, retro-esophageal left subclavian artery, right aortic arch, short tongue, small adrenal glands, small dorsal pancreas, small kidney, small ovary, small pancreas, small thymus, small thyroid gland, small trigeminal ganglion, small ventral pancreas, subcutaneous edema, thoracoschisis, tongue hypoplasia",NA,C57BL/6N
Ndst1<tm1.1Grob>/Ndst1<+>,involves: 129S1/Sv * 129X1/SvJ * C57BL/6,ht,FALSE,hematopoietic system phenotype,19966810,129S1/Sv|129X1/SvJ|C57BL/6
Ndst1<tm1.1Grob>/Ndst1<tm1.1Grob>,involves: 129S1/Sv * 129X1/SvJ,hm,FALSE,"abnormal eye morphology, absent lacrimal glands",18077586,129S1/Sv|129X1/SvJ
Ndst1<tm1.1Grob>/Ndst1<tm1.1Grob>,involves: 129S1/Sv * 129X1/SvJ * C57BL/6,hm,FALSE,"abnormal CNS glial cell morphology, abnormal anterior commissure morphology, abnormal brain commissure morphology, abnormal brain development, abnormal cranium morphology, abnormal diencephalon morphology, abnormal facial morphology, abnormal forebrain development, abnormal hippocampal commissure morphology, abnormal telencephalon morphology, absent facial bone, absent mandible, absent neurocranium, absent olfactory bulb, anophthalmia, aphakia, delayed bone ossification, iris coloboma, microphthalmia, midline cleft upper lip, perinatal lethality, complete penetrance, pituitary gland hypoplasia",16020517,129S1/Sv|129X1/SvJ|C57BL/6
Ndst3<tm1.1Grob>/Ndst3<tm1.1Grob>,involves: 129S1/Sv * 129X1/SvJ * C57BL/6 * FVB/N,hm,FALSE,"decreased CD8-positive, alpha-beta T cell number, decreased anxiety-related response, decreased circulating HDL cholesterol level, decreased circulating cholesterol level, decreased lymphocyte cell number, nervous system phenotype",18385133,129S1/Sv|129X1/SvJ|C57BL/6|FVB/N
Nodal<TgR(MPSVNeo)413.dRob>/Nodal<tm1Mku>,involves: 129S1/Sv,ht,FALSE,"increased spongiotrophoblast size, increased trophoblast giant cell number, thin placenta labyrinth",11456449,129S1/Sv
Nodal<tm1.1Mku>/Nodal<tm2Mku>,involves: 129S1/Sv,ht,FALSE,no abnormal phenotype detected,18773491,129S1/Sv
Nodal<tm1.1Rob>/Nodal<+>,involves: 129S/SvEv,ht,FALSE,no phenotypic analysis,10385626,129S/SvEv
Nodal<tm1Mku>/Nodal<tm1.1Mku>,either: (involves: 129S1/Sv * FVB/N) or (involves: 129S1/Sv * C57BL/6J * FVB/N),ht,TRUE,"abnormal anterior visceral endoderm morphology, abnormal anterior visceral endoderm morphology, abnormal brain development, abnormal brain development, abnormal developmental patterning, abnormal developmental patterning, abnormal digestive system development, abnormal digestive system development, abnormal direction of heart looping, abnormal direction of heart looping, abnormal embryo turning, abnormal embryo turning, abnormal embryonic neuroepithelium morphology, abnormal embryonic neuroepithelium morphology, abnormal embryonic tissue morphology, abnormal embryonic tissue morphology, abnormal gastrulation, abnormal gastrulation, abnormal gastrulation, abnormal gastrulation, abnormal head development, abnormal head development, abnormal hindgut morphology, abnormal hindgut morphology, abnormal lateral plate mesoderm morphology, abnormal lateral plate mesoderm morphology, abnormal lateral plate mesoderm morphology, abnormal lateral plate mesoderm morphology, abnormal neural fold formation, abnormal neural fold formation, abnormal prechordal plate morphology, abnormal prechordal plate morphology, abnormal primitive node morphology, abnormal primitive node morphology, abnormal primitive node morphology, abnormal primitive node morphology, abnormal primitive streak morphology, abnormal primitive streak morphology, abnormal rostral-caudal axis patterning, abnormal rostral-caudal axis patterning, abnormal rostral-caudal axis patterning, abnormal rostral-caudal axis patterning, abnormal rostral-caudal axis patterning, abnormal rostral-caudal axis patterning, abnormal stomach position or orientation, abnormal stomach position or orientation, absent floor plate, absent floor plate, absent foregut, absent foregut, absent heart tube, absent heart tube, absent notochord, absent notochord, absent prechordal plate, absent prechordal plate, absent primitive node, absent primitive node, embryonic growth arrest, embryonic growth arrest, embryonic lethality, incomplete penetrance, embryonic lethality, incomplete penetrance, embryonic-extraembryonic boundary constriction, embryonic-extraembryonic boundary constriction, embryonic-extraembryonic boundary constriction, embryonic-extraembryonic boundary constriction, fused somites, fused somites, fused somites, fused somites, holoprosencephaly, holoprosencephaly, pale liver, pale liver, perinatal lethality, complete penetrance, perinatal lethality, complete penetrance, right pulmonary isomerism, right pulmonary isomerism, small liver, small liver, transposition of great arteries, transposition of great arteries, truncated foregut, truncated foregut, truncated notochord, truncated notochord, truncated notochord, truncated notochord",11311163,129S1/Sv|FVB/N
Nodal<tm1Mku>/Nodal<tm1Mku>,involves: 129S1/Sv,hm,FALSE,no abnormal phenotype detected,11311163,129S1/Sv
Nodal<tm1Rob>/Nodal<+>,involves: 129S/SvEv * 129S1/Sv * 129X1/SvJ,ht,FALSE,"no abnormal phenotype detected, no abnormal phenotype detected",8610012,129S/SvEv|129S1/Sv|129X1/SvJ
Nodal<tm1Rob>/Nodal<tm1Rob>,involves: 129S/SvEv,hm,FALSE,"abnormal developmental patterning, abnormal embryonic tissue morphology, abnormal extraembryonic tissue morphology, decreased embryo size, embryonic growth arrest, prenatal lethality, complete penetrance",8610012,129S/SvEv
Nodal<tm1Rob>/Nodal<tm2Rob>,involves: 129S/SvEv * ICR,ht,FALSE,"abnormal gastrulation, abnormal gastrulation movements, abnormal heart looping, abnormal primitive node morphology, abnormal rostral-caudal axis patterning, abnormal visceral endoderm morphology, absent notochord, embryonic-extraembryonic boundary constriction, fused somites",12091315,129S/SvEv|ICR
Nodal<tm1b(EUCOMM)Wtsi>/Nodal<+>,C57BL/6N-Nodal<tm1b(EUCOMM)Wtsi>/H,ht,FALSE,"corneal vascularization, decreased locomotor activity, increased circulating HDL cholesterol level, increased circulating cholesterol level, increased circulating triglyceride level, increased grip strength, increased large unstained cell number",NA,C57BL/6N
Nog<em1(IMPC)Mbp>/Nog<+>,C57BL/6N-Nog<em1(IMPC)Mbp>/MbpMmucd,ht,FALSE,"abnormal bone structure, abnormal caudal vertebrae morphology, abnormal kidney morphology, abnormal placenta morphology, abnormal snout morphology, edema, increased circulating alkaline phosphatase level, small kidney",NA,C57BL/6N
Nog<tm1Amc>/Nog<+>,B6.129S1-Nog<tm1Amc>,ht,FALSE,"abnormal rib morphology, abnormal rib morphology, fused synovial joints, fused synovial joints, fused synovial joints, fused synovial joints, kinked tail, kinked tail, small thoracic cage, small thoracic cage",16598734,B6|129S1
Nog<tm1Amc>/Nog<+>,D1.129S1-Nog<tm1Amc>,ht,FALSE,"abnormal middle ear morphology, abnormal middle ear morphology, abnormal middle ear ossicle morphology, abnormal middle ear ossicle morphology, abnormal middle ear ossicle morphology, abnormal middle ear ossicle morphology, abnormal middle ear ossicle morphology, abnormal middle ear ossicle morphology, abnormal middle ear ossicle morphology, abnormal middle ear ossicle morphology, abnormal middle ear ossicle morphology, abnormal middle ear ossicle morphology, abnormal rib morphology, abnormal rib morphology, abnormal stapes morphology, abnormal stapes morphology, abnormal styloid process morphology, abnormal styloid process morphology, conductive hearing loss, conductive hearing loss, fused synovial joints, fused synovial joints, fused synovial joints, fused synovial joints, impaired hearing, impaired hearing, increased or absent threshold for auditory brainstem response, increased or absent threshold for auditory brainstem response, kinked tail, kinked tail, small thoracic cage, small thoracic cage","18096605, 16598734",D1|129S1
Nog<tm1Amc>/Nog<+>,involves: 129S1/Sv * C57BL/6J * ICR,ht,FALSE,"decreased prostate gland ventral lobe weight, decreased prostate gland ventral lobe weight, decreased prostate gland ventral lobe weight, decreased prostate gland ventral lobe weight",18028901,129S1/Sv|C57BL/6J|ICR
Nog<tm1Amc>/Nog<+>,involves: 129S1/Sv * CD-1,ht,FALSE,"abnormal axial skeleton morphology, abnormal axial skeleton morphology, abnormal rib morphology, abnormal rib morphology, fused synovial joints, fused synovial joints, fused synovial joints, fused synovial joints, kinked tail, kinked tail, kyphosis, kyphosis, small thoracic cage, small thoracic cage",16598734,129S1/Sv|CD
Nog<tm1Amc>/Nog<+>,involves: C57BL/6J * FVB,ht,FALSE,"hearing/vestibular/ear phenotype, hearing/vestibular/ear phenotype",18096605,C57BL/6J|FVB
Nog<tm1Amc>/Nog<tm1Amc>,B6.129S1-Nog<tm1Amc>,hm,FALSE,"abnormal incus morphology, abnormal malleus morphology, fusion of middle ear ossicles, lethality throughout fetal growth and development, complete penetrance, small limb buds","18096605, 16598734",B6|129S1
Nog<tm1Amc>/Nog<tm1Amc>,D1.129S1-Nog<tm1Amc>,hm,FALSE,"exencephaly, perinatal lethality",16598734,D1|129S1
Nog<tm1Amc>/Nog<tm1Amc>,either: (involves: 129S1/Sv * C57BL/6) or (involves: 129S1/Sv * CD-1 * ICR),hm,FALSE,"abnormal esophagus development, abnormal foregut morphology, abnormal foregut morphology, abnormal neural tube morphology, abnormal notochord morphology, abnormal notochord morphology, abnormal notochord morphology, abnormal notochord morphology, abnormal notochord morphology, esophageal atresia, esophagus stenosis, incomplete rostral neuropore closure, open neural tube, tracheoesophageal fistula",17260385,129S1/Sv|C57BL/6
Nog<tm1Amc>/Nog<tm1Amc>,either: (involves: 129S1/Sv * CD-1) or (involves: 129S1/Sv * 129X1/SvJ * C57BL/6),hm,FALSE,"abnormal Rathke's pouch apoptosis, abnormal Rathke's pouch development, abnormal Rathke's pouch development, abnormal diencephalon morphology, abnormal diencephalon morphology, abnormal diencephalon morphology, abnormal head morphology, abnormal neural tube morphology, abnormal pituitary gland development, abnormal pituitary gland development, abnormal pituitary gland development, abnormal pituitary gland physiology, absent Rathke's pouch, absent adenohypophysis, absent pituitary gland, absent pituitary infundibular stalk",17359964,129S1/Sv|CD
Nog<tm1Amc>/Nog<tm1Amc>,either: 129/Sv or (involves: 129S1/Sv * C57BL/6J),hm,FALSE,"abnormal axial skeleton morphology, abnormal ear development, abnormal eye development, abnormal hair follicle development, abnormal hair follicle development, abnormal neural tube morphology, abnormal notochord morphology, abnormal rostral-caudal patterning of the somites, abnormal somite development, abnormal spinal cord morphology, decreased embryo size, decreased somite size, incomplete rostral neuropore closure, incomplete rostral neuropore closure, incomplete rostral neuropore closure, perinatal lethality, complete penetrance, short limbs, vestigial tail","9585504, 10559902",129/Sv
Nog<tm1Amc>/Nog<tm1Amc>,involves: 129S1/Sv,hm,FALSE,"abnormal axial skeleton morphology, abnormal axial skeleton morphology, abnormal basicranium morphology, abnormal frontal bone morphology, abnormal interparietal bone morphology, abnormal lung development, abnormal lung morphology, abnormal neural plate morphology, abnormal neural tube closure, abnormal neural tube closure, abnormal neural tube morphology, abnormal neural tube morphology, abnormal neural tube morphology, abnormal neural tube morphology, abnormal neural tube morphology, abnormal occipital bone morphology, abnormal parietal bone morphology, abnormal right lung morphology, abnormal somite development, abnormal spinal cord morphology, abnormal vertebral arch morphology, absent tail, absent vertebral arch, exencephaly, exencephaly, exencephaly, exencephaly, incomplete rostral neuropore closure, increased apoptosis, kinked neural tube, open neural tube, perinatal lethality, complete penetrance, perinatal lethality, complete penetrance, short limbs, spina bifida occulta, spina bifida occulta, spina bifida occulta, wavy neural tube","16712836, 11330864, 12781691",129S1/Sv
Nog<tm1Amc>/Nog<tm1Amc>,involves: 129S1/Sv * C57BL/6J * FVB/N,hm,FALSE,"abnormal cochlea morphology, decreased cochlear coiling, increased cochlear inner hair cell number, increased cochlear inner hair cell number, increased cochlear inner hair cell number, increased cochlear outer hair cell number, increased cochlear outer hair cell number",20063299,129S1/Sv|C57BL/6J|FVB/N
Nog<tm1Amc>/Nog<tm1Amc>,involves: 129S1/Sv * C57BL/6J * ICR,hm,FALSE,"abnormal male reproductive system morphology, abnormal primitive urogenital sinus morphology, abnormal prostate gland development, abnormal prostate gland development, abnormal prostate gland morphology, abnormal septation of the cloaca, abnormal septation of the cloaca, abnormal septation of the cloaca, abnormal septation of the cloaca, abnormal urethra morphology, abnormal urethra morphology, abnormal urinary system development, absent bulbourethral gland, absent tail, anal atresia, cryptorchism, pelvic kidney",18028901,129S1/Sv|C57BL/6J|ICR
Nog<tm1Amc>/Nog<tm1Amc>,involves: 129S1/Sv * CD-1,hm,FALSE,"abnormal bone mineralization, abnormal hair follicle development, abnormal limb bud morphology, abnormal limb morphology, abnormal muscle fiber morphology, abnormal muscle morphology, decreased fetal size, edema, exencephaly, fused synovial joints, hematoma, perinatal lethality, vestigial tail",16598734,129S1/Sv|CD
Nog<tm1Amc>/Nog<tm1Amc>,involves: C57BL/6,hm,FALSE,"abnormal craniofacial morphology, abnormal neural tube morphology, abnormal skeleton morphology, exencephaly, perinatal lethality, complete penetrance, short face",16712836,C57BL/6
